Reaction Object ID,Reaction-List,Reactants of reaction,Reactants-Object ID,Reactants-Chemical Formula,Reactants-Monoisotopic-Molecular-Weight,Products of reaction,Products-Object ID,Products-Chemical Formula,Products-Monoisotopic-Molecular-Weight
RXN-527,(+)-taxifolin + 2-oxoglutarate + dioxygen  ->  quercetin + succinate + CO2 + H2O,(+)-taxifolin // 2-oxoglutarate // dioxygen,CPD-474 // 2-KETOGLUTARATE // OXYGEN-MOLECULE,C15H11O7 // C5H4O5 // O2,304.0583027399d0 // 146.0215233031d0 // 31.9898292442d0,quercetin // succinate // CO<SUB>2</SUB> // H<sub>2</sub>O,CPD-520 // SUC // CARBON-DIOXIDE // WATER,C15H9O7 // C4H4O4 // CO2 // H2O,302.04265267569997d0 // 118.026608681d0 // 43.989829244199996d0 // 18.0105646863d0
RXN-13718,(+)-taxifolin + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (+)-dihydromyricetin + oxidized [NADPH-hemoprotein reductase] + H2O,(+)-taxifolin // dioxygen // a reduced [NADPH-hemoprotein reductase],CPD-474 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C15H11O7 // O2 // ,304.0583027399d0 // 31.9898292442d0,(+)-dihydromyricetin // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-7087 // Ox-NADPH-Hemoprotein-Reductases // WATER,C15H11O8 //  // H2O,320.053217362d0 // 18.0105646863d0
RXN-19715,(+)-trans-abscisic aldehyde + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  2-trans-abscisate + oxidized [NADPH-hemoprotein reductase] + H2O + H+,(+)-<i>trans</i>-abscisic aldehyde // dioxygen // a reduced [NADPH-hemoprotein reductase],CPD-14385 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C15H20O3 // O2 // ,248.1412445083d0 // 31.9898292442d0,2-<i>trans</i>-abscisate // H<sub>2</sub>O // an oxidized [NADPH-hemoprotein reductase] // H<SUP>+</SUP>,CPD-7731 // WATER // Ox-NADPH-Hemoprotein-Reductases // PROTON,C15H19O4 // H2O //  // H,264.1361591304d0 // 18.0105646863d0 // 1.0078250321d0
RXN-9397,(+)-trans-carveol + NAD+  ->  (+)-carvone + NADH + H+,(+)-<i>trans</i>-carveol // NAD<sup>+</sup>,CPD-260 // NAD,C10H16O // C21H26N7O14P2,152.1201151357d0 // 665.1247716966999d0,(+)-carvone // NADH // H<SUP>+</SUP>,CPD-10037 // NADH // PROTON,C10H14O // C21H27N7O14P2 // H,150.1044650715d0 // 665.1247716966999d0 // 1.0078250321d0
RXN-8909,(+)-trans-isoalliin  ->  (E)-prop-1-en-1-SO-peroxol + 2-aminoprop-2-enoate,(+)-<i>trans</i>-isoalliin,CPD-9307,C6H11NO3S,177.0459639146d0,(<i>E</i>)-prop-1-en-1-<i>SO</i>-peroxol // 2-aminoprop-2-enoate,CPD-9304 // 2-AMINOACRYLATE,C3H6OS // C3H5NO2,90.0139355047d0 // 87.0320284099d0
RXN-17350,(-)-4'-demethyl-deoxypodophyllotoxin + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (-)-4'-demethyl-epipodophyllotoxin + oxidized [NADPH-hemoprotein reductase] + H2O,(-)-4'-demethyl-deoxypodophyllotoxin // dioxygen // a reduced [NADPH-hemoprotein reductase],CPD-18756 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C21H20O7 // O2 // ,384.12090299669995d0 // 31.9898292442d0,(-)-4'-demethyl-epipodophyllotoxin // H<sub>2</sub>O // an oxidized [NADPH-hemoprotein reductase],CPD-18757 // WATER // Ox-NADPH-Hemoprotein-Reductases,C21H20O8 // H2O // ,400.11581761879995d0 // 18.0105646863d0
RXN-17348,(-)-5'-demethylyatein + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + (-)-yatein + H+,<i>S</i>-adenosyl-L-methionine // (-)-5'-demethylyatein,S-ADENOSYLMETHIONINE // CPD-18755,C15H23N6O5S // C21H22O7,400.1528886021d0 // 386.1365530609d0,<i>S</i>-adenosyl-L-homocysteine // (-)-yatein // H<SUP>+</SUP>,ADENOSYL-HOMO-CYS // CPD-17595 // PROTON,C14H20N6O5S // C22H24O7 // H,384.1215884737d0 // 400.15220312509996d0 // 1.0078250321d0
RXN-18136,(-)-8-demethylmaritidine + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  vittatine + oxidized [NADPH-hemoprotein reductase] + 2 H2O,(-)-8-demethylmaritidine // dioxygen // a reduced [NADPH-hemoprotein reductase],CPD-19446 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C16H19NO3 // O2 // ,273.1364934814d0 // 31.9898292442d0,vittatine // H<sub>2</sub>O // an oxidized [NADPH-hemoprotein reductase],CPD-19428 // WATER // Ox-NADPH-Hemoprotein-Reductases,C16H17NO3 // H2O // ,271.12084341720004d0 // 18.0105646863d0
RXN-12882,"(-)-9&beta;-pimara-7,15-dien-19-al monooxygenase","(-)-9&beta;-pimara-7,15-dien-19-al // dioxygen // a reduced [NADPH-hemoprotein reductase]",CPD-13922 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C20H30O // O2 // ,286.2296655851d0 // 31.9898292442d0,"(-)-9&beta;-pimara-7,15-dien-19-oate // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O // H<SUP>+</SUP>",CPD-13923 // Ox-NADPH-Hemoprotein-Reductases // WATER // PROTON,C20H29O2 //  // H2O // H,302.2245802072d0 // 18.0105646863d0 // 1.0078250321d0
RXN-15399,"(-)-9beta-pimara-7,15-dien-19-oate  ->  3beta-hydroxy-9beta-pimara-7,15-diene-19,6beta-olide","(-)-9&beta;-pimara-7,15-dien-19-oate",CPD-13923,C20H29O2,302.2245802072d0,"3&beta;-hydroxy-9&beta;-pimara-7,15-diene-19,6&beta;-olide",CPD-9905,C20H28O3,316.2038447651d0
RXN-12881,"(-)-9&beta;-pimara-7,15-dien-19-ol dehydrogenase","(-)-9&beta;-pimara-7,15-dien-19-ol // dioxygen // a reduced [NADPH-hemoprotein reductase]",CPD-13921 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C20H32O // O2 // ,288.2453156493d0 // 31.9898292442d0,"(-)-9&beta;-pimara-7,15-dien-19-al // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O",CPD-13922 // Ox-NADPH-Hemoprotein-Reductases // WATER,C20H30O //  // H2O,286.2296655851d0 // 18.0105646863d0
RXN-12880,"(-)-9&beta;-pimara-7,15-diene monooxygenase","(-)-9&beta;-pimara-7,15-diene // dioxygen // a reduced [NADPH-hemoprotein reductase]",CPD-4754 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C20H32 // O2 // ,272.2504010272d0 // 31.9898292442d0,"(-)-9&beta;-pimara-7,15-dien-19-ol // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O",CPD-13921 // Ox-NADPH-Hemoprotein-Reductases // WATER,C20H32O //  // H2O,288.2453156493d0 // 18.0105646863d0
RXN-15452,<i>syn</i>-pimaradiene 6-hydroxylase,"(-)-9&beta;-pimara-7,15-diene // a reduced [NADPH-hemoprotein reductase] // dioxygen",CPD-4754 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C20H32 //  // O2,272.2504010272d0 // 31.9898292442d0,6&beta;-hydroxy-<i>syn</i>-pimaradiene // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-16670 // Ox-NADPH-Hemoprotein-Reductases // WATER,C20H32O //  // H2O,288.2453156493d0 // 18.0105646863d0
(-)-@BORNEOL-@DEHYDROGENASE-@RXN,(-)-borneol + NAD+  ->  (S)-camphor + NADH + H+,(-)-borneol // NAD<sup>+</sup>,CPD-1908 // NAD,C10H18O // C21H26N7O14P2,154.1357651999d0 // 665.1247716966999d0,(<i>S</i>)-camphor // NADH // H<SUP>+</SUP>,S-CAMPHOR // NADH // PROTON,C10H16O // C21H27N7O14P2 // H,152.1201151357d0 // 665.1247716966999d0 // 1.0078250321d0
RXN-13047,(-)-bornyl-diphosphate + H2O  ->  (-)-borneol + diphosphate,(-)-bornyl-diphosphate // H<sub>2</sub>O,--bornyl-diphosphate // WATER,C10H17O7P2 // H2O,314.0684260167d0 // 18.0105646863d0,(-)-borneol // diphosphate,CPD-1908 // PPI,C10H18O // HO7P2,154.1357651999d0 // 177.9432255031d0
RXN-17347,(-)-bursehernin + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (-)-5'-demethylyatein + oxidized [NADPH-hemoprotein reductase] + H2O,(-)-bursehernin // dioxygen // a reduced [NADPH-hemoprotein reductase],CPD-17599 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C21H22O6 // O2 // ,370.1416384388d0 // 31.9898292442d0,(-)-5'-demethylyatein // H<sub>2</sub>O // an oxidized [NADPH-hemoprotein reductase],CPD-18755 // WATER // Ox-NADPH-Hemoprotein-Reductases,C21H22O7 // H2O // ,386.1365530609d0 // 18.0105646863d0
RXN-9249,(-)-curcuhydroquinone  ->  (+)-heliannuol D,(-)-curcuhydroquinone,CPD-9878,C15H22O2,234.1619799504d0,(+)-heliannuol D,CPD-9879,C15H22O3,250.1568945725d0
RXN-9256,(-)-curcuhydroquinone  ->  (+)-heliannuol F,(-)-curcuhydroquinone,CPD-9878,C15H22O2,234.1619799504d0,(+)-heliannuol F,CPD-9886,C15H20O4,264.1361591304d0
RXN-9258,(-)-curcuhydroquinone  ->  (+)-heliannuol K,(-)-curcuhydroquinone,CPD-9878,C15H22O2,234.1619799504d0,(+)-heliannuol K,CPD-9888,C15H20O3,248.1412445083d0
RXN-9250,(-)-curcuhydroquinone  ->  (-)-heliannuol A,(-)-curcuhydroquinone,CPD-9878,C15H22O2,234.1619799504d0,(-)-heliannuol A,CPD-9876,C15H22O3,250.1568945725d0
RXN-9257,(-)-curcuhydroquinone  ->  (-)-heliannuol E,(-)-curcuhydroquinone,CPD-9878,C15H22O2,234.1619799504d0,(-)-heliannuol E,CPD-9887,C15H20O3,248.1412445083d0
RXN-9248,(-)-curcuquinone  ->  (-)-curcuhydroquinone,(-)-curcuquinone,CPD-9877,C15H20O2,232.1463298862d0,(-)-curcuhydroquinone,CPD-9878,C15H22O2,234.1619799504d0
RXN-17349,(-)-deoxypodophyllotoxin + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (-)-4'-demethyl-deoxypodophyllotoxin + formaldehyde + oxidized [NADPH-hemoprotein reductase] + H2O,(-)-deoxypodophyllotoxin // dioxygen // a reduced [NADPH-hemoprotein reductase],CPD-8958 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C22H22O7 // O2 // ,398.1365530609d0 // 31.9898292442d0,(-)-4'-demethyl-deoxypodophyllotoxin // formaldehyde // H<sub>2</sub>O // an oxidized [NADPH-hemoprotein reductase],CPD-18756 // FORMALDEHYDE // WATER // Ox-NADPH-Hemoprotein-Reductases,C21H20O7 // CH2O // H2O // ,384.12090299669995d0 // 30.0105646863d0 // 18.0105646863d0
RXN-8735,(-)-deoxypodophyllotoxin + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  beta-peltatin + oxidized [NADPH-hemoprotein reductase] + H2O,(-)-deoxypodophyllotoxin // a reduced [NADPH-hemoprotein reductase] // dioxygen,CPD-8958 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C22H22O7 //  // O2,398.1365530609d0 // 31.9898292442d0,&beta;-peltatin // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-8960 // Ox-NADPH-Hemoprotein-Reductases // WATER,C22H22O8 //  // H2O,414.131467683d0 // 18.0105646863d0
RXN-11273,(-)-endo-fenchol  ->  alpha-fenchene,(-)-<i>endo</i>-fenchol,CPD-685,C10H18O,154.1357651999d0,&alpha;-fenchene,CPD-12222,C10H16,136.1252005136d0
RXN-11274,(-)-endo-fenchol  ->  beta-fenchene,(-)-<i>endo</i>-fenchol,CPD-685,C10H18O,154.1357651999d0,&beta;-fenchene,CPD-12223,C12H20,164.156500642d0
RXN-19635,(-)-ent-copalyl diphosphate  ->  dolabradiene + diphosphate,(-)-<i>ent</i>-copalyl diphosphate,ENT-COPALYL-DIPHOSPHATE,C20H33O7P2,450.1936265303d0,dolabradiene // diphosphate,CPD-21265 // PPI,C20H32 // HO7P2,272.2504010272d0 // 177.9432255031d0
RXN-4881,"(-)-ent-copalyl diphosphate  ->  ent-cassa-12,15-diene + diphosphate",(-)-<i>ent</i>-copalyl diphosphate,ENT-COPALYL-DIPHOSPHATE,C20H33O7P2,450.1936265303d0,"<i>ent</i>-cassa-12,15-diene // diphosphate",CPD-4751 // PPI,C20H32 // HO7P2,272.2504010272d0 // 177.9432255031d0
RXN-12593,(-)-ent-copalyl diphosphate  ->  ent-isokaurene + diphosphate,(-)-<i>ent</i>-copalyl diphosphate,ENT-COPALYL-DIPHOSPHATE,C20H33O7P2,450.1936265303d0,diphosphate // <i>ent</i>-isokaurene,PPI // CPD-11534,HO7P2 // C20H32,177.9432255031d0 // 272.2504010272d0
4.2.3.19-RXN,(-)-ent-copalyl diphosphate  ->  ent-kaurene + diphosphate,(-)-<i>ent</i>-copalyl diphosphate,ENT-COPALYL-DIPHOSPHATE,C20H33O7P2,450.1936265303d0,diphosphate // <i>ent</i>-kaurene,PPI // CPD1F-128,HO7P2 // C20H32,177.9432255031d0 // 272.2504010272d0
RXN-7788,"(-)-ent-copalyl diphosphate  ->  ent-pimara-8(14),15-diene + diphosphate",(-)-<i>ent</i>-copalyl diphosphate,ENT-COPALYL-DIPHOSPHATE,C20H33O7P2,450.1936265303d0,"<i>ent</i>-pimara-8(14),15-diene // diphosphate",CPD-7097 // PPI,C20H32 // HO7P2,272.2504010272d0 // 177.9432255031d0
RXN-4884,(-)-ent-copalyl diphosphate  ->  ent-sandaracopimaradiene + diphosphate,(-)-<i>ent</i>-copalyl diphosphate,ENT-COPALYL-DIPHOSPHATE,C20H33O7P2,450.1936265303d0,<i>ent</i>-sandaracopimaradiene // diphosphate,CPD-4753 // PPI,C20H32 // HO7P2,272.2504010272d0 // 177.9432255031d0
RXN-9724,(-)-epiafzelechin + 2 NADP+  <-  pelargonidin + 2 NADPH + 3 H+,H<SUP>+</SUP> // pelargonidin // NADPH,PROTON // PELARGONIDIN-CMPD // NADPH,H // C15H9O5 // C21H26N7O17P3,1.0078250321d0 // 271.0606484636d0 // 745.0911021051d0,(-)-epiafzelechin // NADP<sup>+</sup>,CPD-10413 // NADP,C15H14O5 // C21H25N7O17P3,274.0841235599d0 // 745.0911021051d0
RXN-9725,(-)-epicatechin + 2 NADP+  <-  cyanidin + 2 NADPH + 3 H+,cyanidin // NADPH // H<SUP>+</SUP>,CPD-591 // NADPH // PROTON,C15H9O6 // C21H26N7O17P3 // H,287.0555630857d0 // 745.0911021051d0 // 1.0078250321d0,(-)-epicatechin // NADP<sup>+</sup>,CPD-7630 // NADP,C15H14O6 // C21H25N7O17P3,290.079038182d0 // 745.0911021051d0
RXN-9723,(-)-epigallocatechin + 2 NADP+  <-  delphinidin + 2 NADPH + 3 H+,delphinidin // NADPH // H<SUP>+</SUP>,CPD-7090 // NADPH // PROTON,C15H9O7 // C21H26N7O17P3 // H,303.0504777078d0 // 745.0911021051d0 // 1.0078250321d0,(-)-epigallocatechin // NADP<sup>+</sup>,CPD-10411 // NADP,C15H14O7 // C21H25N7O17P3,306.0739528041d0 // 745.0911021051d0
RXN-15319,(-)-epigallocatechin-3-O-gallate  ->  (-)-gallocatechin-3-O-gallate,(-)-epigallocatechin-3-<i>O</i>-gallate,CPD-15291,C22H18O11,458.08491142089997d0,(-)-gallocatechin-3-<i>O</i>-gallate,CPD-16531,C22H18O11,458.08491142089997d0
RXN-4510,"(-)-glycinol + prenyl diphosphate  ->  (6alphaS,11alphaS)-3,6a,9-trihydroxy-2-prenylpterocarpan + diphosphate",(-)-glycinol // prenyl diphosphate,6AS11AS-36A9-TRIHYDROXYPTEROCARPAN // CPD-4211,C15H12O5 // C5H9O7P2,272.0684734957d0 // 246.0058257599d0,"(6&alpha;<i>S</i>,11&alpha;<i>S</i>)-3,6a,9-trihydroxy-2-prenylpterocarpan // diphosphate",CPD-4404 // PPI,C20H20O5 // HO7P2,340.13107375249996d0 // 177.9432255031d0
RXN-4509,"(-)-glycinol + prenyl diphosphate  ->  (6alphaS,11alphaS)-3,6a,9-trihydroxy-4-prenylpterocarpan + diphosphate",(-)-glycinol // prenyl diphosphate,6AS11AS-36A9-TRIHYDROXYPTEROCARPAN // CPD-4211,C15H12O5 // C5H9O7P2,272.0684734957d0 // 246.0058257599d0,"(6&alpha;<i>S</i>,11&alpha;<i>S</i>)-3,6a,9-trihydroxy-4-prenylpterocarpan // diphosphate",CPD-4403 // PPI,C20H20O5 // HO7P2,340.13107375249996d0 // 177.9432255031d0
PWY-2761,(-)-glycinol biosynthesis,,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0).",,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0)."
RXN-9251,"(-)-heliannuol A  ->  (2S,5R)-2-(2-hydroxypropan-2-yl)-5,9-dimethyl-1-oxaspiro[5.5]undec-8-ene-7,10-dione",(-)-heliannuol A,CPD-9876,C15H22O3,250.1568945725d0,"(2S,5R)-2-(2-hydroxypropan-2-yl)-5,9-dimethyl-1-oxaspiro[5.5]undec-8-ene-7,10-dione",CPD-9884,C15H22O4,266.1518091946d0
RXN-10450,(-)-jasmonate + NADPH + dioxygen + H+  ->  trans-tuberonic acid + NADP+ + H2O,(-)-jasmonate // dioxygen // NADPH // H<SUP>+</SUP>,CPD-734 // OXYGEN-MOLECULE // NADPH // PROTON,C12H17O3 // O2 // C21H26N7O17P3 // H,210.1255944441d0 // 31.9898292442d0 // 745.0911021051d0 // 1.0078250321d0,<i>trans</i>-tuberonic acid // NADP<sup>+</sup> // H<sub>2</sub>O,CPD-11253 // NADP // WATER,C12H17O4 // C21H25N7O17P3 // H2O,226.1205090662d0 // 745.0911021051d0 // 18.0105646863d0
RXN-8683,(-)-lariciresinol + NADP+  <-  (-)-pinoresinol + NADPH + H+,(-)-pinoresinol // NADPH // H<SUP>+</SUP>,CPD-8906 // NADPH // PROTON,C20H22O6 // C21H26N7O17P3 // H,358.1416384388d0 // 745.0911021051d0 // 1.0078250321d0,(-)-lariciresinol // NADP<sup>+</sup>,CPD-8908 // NADP,C20H24O6 // C21H25N7O17P3,360.15728850299996d0 // 745.0911021051d0
RXN-2054,(-)-maackiain  ->  (+)-maackiain,(-)-maackiain,CPD-3631,C16H12O5,284.0684734957d0,(+)-maackiain,CPD-4462,C16H12O5,284.0684734957d0
PWY-2464,(-)-maackiain biosynthesis,,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0).",,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0)."
RXN-4322,(-)-maackiain-3-O-glucoside + H2O  ->  (-)-maackiain + D-glucopyranose,(-)-maackiain-3-<i>O</i>-glucoside // H<sub>2</sub>O,CPD-4222 // WATER,C22H22O10 // H2O,446.1212969272d0 // 18.0105646863d0,(-)-maackiain // D-glucopyranose,CPD-3631 // Glucopyranose,C16H12O5 // C6H12O6,284.0684734957d0 // 180.0633881178d0
RXN-4320,(-)-maackiain-3-O-glucoside + malonyl-CoA  ->  (-)-maackiain-3-O-glucoside-6''-malonate + coenzyme A,(-)-maackiain-3-<i>O</i>-glucoside // malonyl-CoA,CPD-4222 // MALONYL-COA,C22H22O10 // C24H33N7O19P3S,446.1212969272d0 // 853.1156022961001d0,(-)-maackiain-3-<i>O</i>-glucoside-6''-malonate // coenzyme A,CPD-4223 // CO-A,C25H23O13 // C21H32N7O16P3S,532.1216908577d0 // 767.1152083656d0
RXN-4321,(-)-maackiain-3-O-glucoside-6''-malonate + H2O  ->  malonate + (-)-maackiain-3-O-glucoside + H+,(-)-maackiain-3-<i>O</i>-glucoside-6''-malonate // H<sub>2</sub>O,CPD-4223 // WATER,C25H23O13 // H2O,532.1216908577d0 // 18.0105646863d0,H<SUP>+</SUP> // malonate // (-)-maackiain-3-<i>O</i>-glucoside,PROTON // MALONATE // CPD-4222,H // C3H2O4 // C22H22O10,1.0078250321d0 // 104.0109586168d0 // 446.1212969272d0
RXN-19421,"(-)-matairesinol  ->  7(8),7'(8')-tetrahydrojusticidin B",(-)-matairesinol,CPD-8912,C20H22O6,358.1416384388d0,"7(8),7'(8')-tetrahydrojusticidin B",CPD-13464,C21H20O6,368.12598837459996d0
RXN-16340,matairesinol hydroxylase,(-)-matairesinol // NADPH // H<SUP>+</SUP> // dioxygen,CPD-8912 // NADPH // PROTON // OXYGEN-MOLECULE,C20H22O6 // C21H26N7O17P3 // H // O2,358.1416384388d0 // 745.0911021051d0 // 1.0078250321d0 // 31.9898292442d0,(-)-thujaplicatin // NADP<sup>+</sup> // H<sub>2</sub>O,CPD-17592 // NADP // WATER,C20H22O7 // C21H25N7O17P3 // H2O,374.1365530609d0 // 745.0911021051d0 // 18.0105646863d0
RXN-16360,(-)-matairesinol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (-)-pluviatolide + oxidized [NADPH-hemoprotein reductase] + 2 H2O,(-)-matairesinol // a reduced [NADPH-hemoprotein reductase] // dioxygen,CPD-8912 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C20H22O6 //  // O2,358.1416384388d0 // 31.9898292442d0,(-)-pluviatolide // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-17597 // Ox-NADPH-Hemoprotein-Reductases // WATER,C20H20O6 //  // H2O,356.12598837459996d0 // 18.0105646863d0
RXN-16364,matairesinol 4'-methyltransferase,<i>S</i>-adenosyl-L-methionine // (-)-matairesinol,S-ADENOSYLMETHIONINE // CPD-8912,C15H23N6O5S // C20H22O6,400.1528886021d0 // 358.1416384388d0,arctigenin // <i>S</i>-adenosyl-L-homocysteine // H<SUP>+</SUP>,CPD-17600 // ADENOSYL-HOMO-CYS // PROTON,C21H24O6 // C14H20N6O5S // H,372.15728850299996d0 // 384.1215884737d0 // 1.0078250321d0
RXN-16365,matairesinol 4-methyltransferase,<i>S</i>-adenosyl-L-methionine // (-)-matairesinol,S-ADENOSYLMETHIONINE // CPD-8912,C15H23N6O5S // C20H22O6,400.1528886021d0 // 358.1416384388d0,isoarctigenin // <i>S</i>-adenosyl-L-homocysteine // H<SUP>+</SUP>,CPD-17601 // ADENOSYL-HOMO-CYS // PROTON,C21H24O6 // C14H20N6O5S // H,372.15728850299996d0 // 384.1215884737d0 // 1.0078250321d0
RXN-8936,(-)-medicarpin + NADPH + H+  ->  (-)-vestitol + NADP+,H<SUP>+</SUP> // (-)-medicarpin // NADPH,PROTON // CPD-3402 // NADPH,H // C16H14O4 // C21H26N7O17P3,1.0078250321d0 // 270.0892089378d0 // 745.0911021051d0,(-)-vestitol // NADP<sup>+</sup>,CPD-9366 // NADP,C16H16O4 // C21H25N7O17P3,272.104859002d0 // 745.0911021051d0
PWY-2463,(-)-medicarpin biosynthesis,,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0).",,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0)."
RXN-4207,(-)-medicarpin-3-O-glucoside + H2O  ->  (-)-medicarpin + D-glucopyranose,(-)-medicarpin-3-<i>O</i>-glucoside // H<sub>2</sub>O,CPD-4122 // WATER,C22H24O9 // H2O,432.14203236929995d0 // 18.0105646863d0,(-)-medicarpin // D-glucopyranose,CPD-3402 // Glucopyranose,C16H14O4 // C6H12O6,270.0892089378d0 // 180.0633881178d0
RXN-4204,(-)-medicarpin-3-O-glucoside + malonyl-CoA  ->  (-)-medicarpin-3-O-glucoside-6''-malonate + coenzyme A,(-)-medicarpin-3-<i>O</i>-glucoside // malonyl-CoA,CPD-4122 // MALONYL-COA,C22H24O9 // C24H33N7O19P3S,432.14203236929995d0 // 853.1156022961001d0,(-)-medicarpin-3-<i>O</i>-glucoside-6''-malonate // coenzyme A,CPD-4123 // CO-A,C25H25O12 // C21H32N7O16P3S,518.1424262998d0 // 767.1152083656d0
RXN-4206,(-)-medicarpin-3-O-glucoside-6''-malonate + H2O  ->  malonate + (-)-medicarpin-3-O-glucoside + H+,(-)-medicarpin-3-<i>O</i>-glucoside-6''-malonate // H<sub>2</sub>O,CPD-4123 // WATER,C25H25O12 // H2O,518.1424262998d0 // 18.0105646863d0,H<SUP>+</SUP> // malonate // (-)-medicarpin-3-<i>O</i>-glucoside,PROTON // MALONATE // CPD-4122,H // C3H2O4 // C22H24O9,1.0078250321d0 // 104.0109586168d0 // 432.14203236929995d0
(-)-@MENTHOL-@DEHYDROGENASE-@RXN,(-)-menthol + NADP+  <-  (-)-menthone + NADPH + H+,H<SUP>+</SUP> // (-)-menthone // NADPH,PROTON // CPD-1909 // NADPH,H // C10H18O // C21H26N7O17P3,1.0078250321d0 // 154.1357651999d0 // 745.0911021051d0,NADP<sup>+</sup> // (-)-menthol,NADP // --MENTHOL,C21H25N7O17P3 // C10H20O,745.0911021051d0 // 156.1514152641d0
RXN-5163,(-)-menthone + NADP+  <-  (+)-pulegone + NADPH + H+,(+)-pulegone // NADPH // H<SUP>+</SUP>,CPD-4942 // NADPH // PROTON,C10H16O // C21H26N7O17P3 // H,152.1201151357d0 // 745.0911021051d0 // 1.0078250321d0,(-)-menthone // NADP<sup>+</sup>,CPD-1909 // NADP,C10H18O // C21H25N7O17P3,154.1357651999d0 // 745.0911021051d0
RXN-5112,(-)-phaseollidin + NADPH + H+ + dioxygen  ->  (-)-phaseollin + NADP+ + 2 H2O,H<SUP>+</SUP> // (-)-phaseollidin // NADPH // dioxygen,PROTON // CPD-4885 // NADPH // OXYGEN-MOLECULE,H // C20H20O4 // C21H26N7O17P3 // O2,1.0078250321d0 // 324.13615913039996d0 // 745.0911021051d0 // 31.9898292442d0,(-)-phaseollin // NADP<sup>+</sup> // H<sub>2</sub>O,CPD-4884 // NADP // WATER,C20H18O4 // C21H25N7O17P3 // H2O,322.1205090662d0 // 745.0911021051d0 // 18.0105646863d0
RXN-16362,hinokinin synthase,(-)-pluviatolide // a reduced [NADPH-hemoprotein reductase] // dioxygen,CPD-17597 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C20H20O6 //  // O2,356.12598837459996d0 // 31.9898292442d0,hinokinin // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-17598 // Ox-NADPH-Hemoprotein-Reductases // WATER,C20H18O6 //  // H2O,354.1103383104d0 // 18.0105646863d0
RXN-16361,pluviatolide methyltransferase,<i>S</i>-adenosyl-L-methionine // (-)-pluviatolide,S-ADENOSYLMETHIONINE // CPD-17597,C15H23N6O5S // C20H20O6,400.1528886021d0 // 356.12598837459996d0,<i>S</i>-adenosyl-L-homocysteine // (-)-bursehernin // H<SUP>+</SUP>,ADENOSYL-HOMO-CYS // CPD-17599 // PROTON,C14H20N6O5S // C21H22O6 // H,384.1215884737d0 // 370.1416384388d0 // 1.0078250321d0
RXN-8680,"(-)-secoisolariciresinol + NAD+  ->  (3R,4R)-3,4-bis(4-hydroxy-3-methoxybenzyl)tetrahydro-2-furanol + NADH + H+",(-)-secoisolariciresinol // NAD<sup>+</sup>,CPD-8909 // NAD,C20H26O6 // C21H26N7O14P2,362.1729385672d0 // 665.1247716966999d0,"H<SUP>+</SUP> // (3R,4R)-3,4-bis(4-hydroxy-3-methoxybenzyl)tetrahydro-2-furanol // NADH",PROTON // CPD-8911 // NADH,H // C20H24O6 // C21H27N7O14P2,1.0078250321d0 // 360.15728850299996d0 // 665.1247716966999d0
